选课号,课程,开课校区,授课方式,授课老师,学分,总学时,限选人数,上课时间
"01001010","海洋通论*","崂山校区","讲授","陈旭 王楠","3.0","48","30","1-17周 三(7-9节)",
"81004001","网络安全意识：从国家战略到日常用网","崂山校区","讲授","姜鹏","2.0","32","40","1-17周 二(3-4节)",
"19000224","中国古代海洋史专题","崂山校区","讲授","万晋","2.0","32","70","1-17周 五(3-4节)",
"14002004","电影与人生","崂山校区","讲授","柴焰","2.0","32","50","1-17周 二(10-11节)",
"18006021","音乐与中国古典诗词","西海岸校区","讲授","傅晓杉","2.0","32","50","1-17周 三(5-6节)",
"18006019","音乐与中国古典诗词","崂山校区","讲授","傅晓杉","2.0","32","50","1-17周 二(7-8节)",
"18006018","音乐与中国古典诗词","崂山校区","讲授","傅晓杉","2.0","32","50","1-17周 二(5-6节)",
"01001078","极地探秘","崂山校区","讲授","黄菲","2.0","32","30","1-17周 五(7-8节)",
"01001077","极地探秘","崂山校区","讲授","史久新","2.0","32","30","1-17周 五(5-6节)",
"16001099","数学建模——量化研究的必由之路*","崂山校区","讲授","吕可波 陈丕炜 曹永昌","3.0","48","50","1-17周 二(5-7节);8周 五(5-6节)",
"82005004","艾滋病、性与健康","崂山校区","讲授","张英 寇昕","1.0","16","50","12周 五(5-6节);12周 五(5-6节)",
"82005003","艾滋病、性与健康","鱼山校区","讲授","张英 夏梦","1.0","16","50","8周 五(5-6节);12周 三(5-6节);6周 三(5-6节);8周 三(5-6节)",
"82005002","海洋的前世今生","崂山校区","讲授","刘子洲","2.0","32","50","10周 三(5-6节);1-17周 五(10-11节)",
"82003003","古琴学理论与实践","崂山校区","讲授","赵霄鹏","2.0","64","24","1-17周 三(10-11节);1-17周 一(10-11节)",
"82003002","古琴学理论与实践","崂山校区","讲授","赵霄鹏","2.0","64","24","1-17周 五(7-8节)",
"18002006","恋爱与婚姻","崂山校区","讲授","乔莉","2.0","32","60","1-17周 四(3-4节)",
"12001060","日本社会与文化","崂山校区","讲授","王璇","2.0","32","85","1-17周 四(3-4节)",
"14001005","《道德经》的智慧启示","崂山校区","讲授","丁玉柱","2.0","32","60","1-17周 二(1-2节)",
"18006017","律动与音乐欣赏","崂山校区","讲授","董岩冰","2.0","32","38","1-17周 二(7-8节)",
"18006016","律动与音乐欣赏","崂山校区","讲授","董岩冰","2.0","32","38","1-17周 二(5-6节)",
"18006003","律动与音乐欣赏","鱼山校区","讲授","董岩冰","2.0","32","38","1-17周 一(5-6节)",
"18006004","西洋乐器艺术鉴赏","鱼山校区","讲授","庄妍","2.0","32","40","1-17周 二(3-4节)",
"96000001","海洋形势评析","崂山校区","讲授","高艳","2.0","32","20","1-17周 五(1-4节)双",
"05002001","环境保护与生态建设","崂山校区","讲授","黄健","2.0","32","100","1-17周 一(1-2节);1-17周 一(5-6节)",
"14001004","古汉字与先秦文明","崂山校区","讲授","杨瑞芳","2.0","32","50","1-17周 三(5-6节);1-17周 三(3-4节)",
"14001003","古汉字与先秦文明","崂山校区","讲授","杨瑞芳","2.0","32","50","1-17周 一(3-4节)",
"18002007","亲职教育","崂山校区","讲授","乔莉","2.0","32","60","1-17周 五(3-4节)",
"08001002","药物发现背后的故事","鱼山校区","讲授","何小溪","2.0","32","40","1-17周 五(3-4节)",
"07001042","生命科学与生物技术史观*","崂山校区","讲授","齐祥明","3.0","48","40","1-17周 五(10-12节)",
"07001041","生命科学与生物技术史观*","崂山校区","讲授","齐祥明","3.0","48","40","1-17周 五(5-7节)",
"01001011","趣味力学","崂山校区","讲授","宋梅","2.0","32","40","1-17周 二(5-6节)",
"97002001","人格心理学","鱼山校区","讲授","吴连海","2.0","32","60","1-17周 二(3-4节)",
"16002002","人工神经网络与深度学习基础*","崂山校区","讲授","刘珑龙 许艳","3.0","48","100","1-17周 三(7-9节)",
"16001101","数学思想与文化","崂山校区","讲授","刘晓东","2.0","32","50","1-17周 一(5-6节)",
"16001100","数学思想与文化","崂山校区","讲授","张若军","2.0","32","50","1-17周 二(5-6节)",
"05001002","食之有道*","崂山校区","讲授","焉翠蔚","3.0","48","40","1-17周 二(5-7节)",
"05001001","食之有道*","鱼山校区","讲授","焉翠蔚","3.0","48","40","1-17周 五(5-7节)",
"18006008","中国古代绘画里的文化和生活","崂山校区","讲授","张锦莉","2.0","32","42","1-17周 六(5-6节)",
"18006007","中国古代绘画里的文化和生活","崂山校区","讲授","张锦莉","2.0","32","42","1-17周 六(1-2节)",
"18006006","中国古代绘画里的文化和生活","崂山校区","讲授","张锦莉","2.0","32","42","1-17周 二(5-6节)",
"18006005","中国古代绘画里的文化和生活","崂山校区","讲授","张锦莉","2.0","32","42","1-17周 二(1-2节)",
"18006002","中国古代绘画里的文化和生活","鱼山校区","讲授","张锦莉","2.0","32","42","1-17周 三(5-6节)",
"18006001","中国古代绘画里的文化和生活","鱼山校区","讲授","张锦莉","2.0","32","42","1-17周 三(3-4节);1-9周 三(7-8节)",
"14002006","世界优秀影片赏析","崂山校区","讲授","柴焰","2.0","32","50","1-9周 二(7-8节);1-9周 三(5-6节)",
"14002005","世界优秀影片赏析","崂山校区","讲授","柴焰","2.0","32","50","1-9周 二(5-6节);1-9周 一(3-4节)",
"14002001","世界优秀影片赏析","鱼山校区","讲授","刘佳","2.0","32","50","1-9周 二(3-4节);1-17周 四(7-9节);1-17周 四(7-9节);1-17周 四(7-9节)",
"14006004","大学之道**","崂山校区","讲授","朱自强","3.0","48","0","1-17周 四(7-9节)",
"19000204","中美关系","鱼山校区","讲授","郭新昌","2.0","32","75","1-17周 二(10-11节)",
"19000203","中美关系","鱼山校区","讲授","郭新昌","2.0","32","75","1-17周 二(7-8节)",
"19000229","《论语》导读","西海岸校区","讲授","陆信礼","2.0","32","50","1-17周 二(1-2节)",
"19000228","《论语》导读","崂山校区","讲授","杨生照","2.0","32","60","1-17周 五(3-4节)",
"19000227","《论语》导读","崂山校区","讲授","杨生照","2.0","32","60","1-17周 二(3-4节);1-9周 六(5-8节)",
"82003004","航海技术与游艇驾驶基础","崂山校区","讲授","外聘(游艇)","2.0","32","40","1-9周 六(1-4节);1-17周 四(7-9节);1-17周 四(7-9节)",
"14006001","数学、天文与物理**","崂山校区","讲授","高翔 张若军 范中平","3.0","48","0","1-17周 四(7-9节)",
"18006013","汉族民歌与文化","崂山校区","讲授","孙赟","2.0","32","50","1-17周 二(5-6节)",
"18006012","汉族民歌与文化","崂山校区","讲授","孙赟","2.0","32","50","1-17周 二(3-4节)",
"18003197","营养与健康","崂山校区","讲授","王忠勇","2.0","32","100","1-17周 四(10-11节)",
"18003196","营养与健康","鱼山校区","讲授","王忠勇","2.0","32","75","1-17周 五(7-8节)",
"20002018","生活中的经济学","崂山校区","讲授","刘海英","2.0","32","50","1-17周 四(3-4节)",
"14001011","中外现代经典诗歌鉴赏与诵读*","崂山校区","讲授","于慈江","3.0","48","90","1-17周 五(7-9节)",
"14002008","漫画创作与鉴赏","崂山校区","讲授","郑鑫","2.0","32","50","1-17周 二(3-4节)",
"14002007","漫画创作与鉴赏","崂山校区","讲授","郑鑫","2.0","32","50","1-17周 二(1-2节)",
"11004026","道家的智慧","崂山校区","讲授","张立波","2.0","32","48","1-17周 二(7-9节)",
"11004025","道家的智慧","崂山校区","讲授","张立波","2.0","32","48","1-17周 一(10-12节);1-17周 三(10-12节);1-17周 三(10-12节);1-17周 三(10-12节)",
"14006003","中国古典学**","崂山校区","讲授","熊明","3.0","48","0","1-17周 三(10-12节);1-17周 三(10-12节);1-17周 三(10-12节)",
"14006002","西方古典学**","崂山校区","讲授","张治","3.0","48","0","1-17周 三(10-12节)",
"12001059","中国海洋文明史专题","崂山校区","讲授","杨强","2.0","32","40","1-17周 五(3-4节)",
"18006015","中国经典流行音乐鉴赏","崂山校区","讲授","孙赟","2.0","32","50","1-17周 三(5-6节)",
"18006014","中国经典流行音乐鉴赏","崂山校区","讲授","孙赟","2.0","32","50","1-17周 三(3-4节)",
"16001098","金融数学与金融衍生品市场","崂山校区","讲授","曹永昌","2.0","32","120","1-17周 三(7-8节)",
"12002038","财富管理的智慧","崂山校区","讲授","郑慧","2.0","32","40","1-17周 二(3-4节)",
"14001002","海上丝路视野的中国文学与文化创新*","崂山校区","讲授","薛海燕","3.0","48","50","1-17周 二(5-7节)",
"14001001","海上丝路视野的中国文学与文化创新*","崂山校区","讲授","薛海燕","3.0","48","50","1-17周 一(5-7节)",
"16001102","万物之理——爱因斯坦之梦*","崂山校区","讲授","高翔","3.0","48","60","1-17周 二(7-9节)",
"14001006","《世说新语》的国学密码解析*","崂山校区","讲授","丁玉柱","3.0","48","40","1-17周 二(7-9节)",
"14001008","中国现当代文学经典作品赏析","崂山校区","讲授","王平","2.0","32","50","1-17周 一(5-6节)",
"02003001","算法大视界*","崂山校区","讲授","魏振钢","3.0","48","40","1-17周 三(10-12节)",
"01002001","科学认识天气","崂山校区","讲授","赵传湖 刘应辰","2.0","32","50","1-17周 二(1-2节)",
"09004001","自动化技术漫谈","崂山校区","讲授","周丽芹","2.0","32","40","1-17周 五(5-6节)",
"05001003","生态文明","崂山校区","讲授","王诗红","2.0","32","60","1-17周 二(5-6节)",
"04002001","地球科学导论","崂山校区","讲授","赵广涛","2.0","32","50","1-17周 二(3-4节)",
"10001042","本科生专业技能拓展训练项目","崂山校区","讲授","张民生 黄磊","2.0","32","50","1-17周 一(1-2节)",
"02001001","探究物理现象","崂山校区","讲授","师玉荣","2.0","32","30","1-17周 三(5-6节)",
"02001004","自主物理实验","崂山校区","讲授","王桂忠","2.0","32","20","1-12周 五(5-7节)",
"03002083","海洋资源导论","崂山校区","讲授","谭丽菊","2.0","32","40","1-17周 二(3-4节)",
"14001013","跨文化交流","崂山校区","讲授","李萌羽","2.0","32","60","1-17周 三(3-4节)",
"13002184","英语表达艺术Ⅱ","崂山校区","讲授","盖飞虹","2.0","32","0","1-17周 二(10-11节)",
"13001001","语言与认知","崂山校区","讲授","吴炳章","2.0","32","50","1-17周 四(1-2节)",
"18002005","大学生情感解读","崂山校区","讲授","乔莉","2.0","32","60","1-17周 四(1-2节)",
"98001004","大学生就业指导与技能开发","西海岸校区","讲授","王圣丹 曹亚楠 薛瑞琪","2.0","32","20","1-17周 二(7-8节)",
"98001003","大学生就业指导与技能开发","崂山校区","讲授","颜彬 吴连海","2.0","32","50","1-17周 五(3-4节)",
"98001001","大学生职业生涯规划","崂山校区","讲授","辛远征 王渊 蓝雷波","2.0","32","50","1-17周 三(5-6节)",
"18002001","家庭教育","鱼山校区","讲授","孙艳霞","2.0","32","50","1-17周 五(3-4节)",
"12002039","走进经济学","崂山校区","讲授","许罕多","2.0","32","50","1-17周 四(3-4节)",
"99001001","大学生KAB创业指导","崂山校区","讲授","王晓鹏","2.0","32","30","1-17周 三(3-4节)",
"18002010","脑、认知与行为","崂山校区","讲授","于晓丹","2.0","32","50","1-17周 三(3-4节)",
"98001002","大学生职业素质与能力拓展","崂山校区","讲授","何培英 魏丽娟 董朝","2.0","32","36","1-17周 一(7-8节)",
"14002003","大众传媒与社会","崂山校区","讲授","刘佳","2.0","32","50","1-17周 四(3-4节);1-9周 二(1-2节)",
"14002002","大众传媒与社会","鱼山校区","讲授","刘佳","2.0","32","50","1-9周 一(1-2节)",
"12001058","海洋经济学概论","崂山校区","讲授","戴桂林","2.0","32","100","1-17周 三(7-8节)",
"15002001","法律故事与诉讼文化","崂山校区","讲授","李华","2.0","32","50","1-17周 五(1-2节)",
"19000210","当代中国外交","崂山校区","讲授","黄鹏","2.0","32","65","1-17周 五(5-6节)",
"19000209","当代中国外交","崂山校区","讲授","黄鹏","2.0","32","65","1-17周 五(3-4节)",
"19000226","应用伦理学","崂山校区","讲授","王枚","2.0","32","120","1-17周 四(3-4节)",
"18002009","学习心理学","崂山校区","讲授","张银","2.0","32","50","1-17周 二(3-4节)",
"19000225","社会心理学","崂山校区","讲授","董振娟","2.0","32","60","1-17周 四(3-4节);1-11周 一(7-9节)",
"82106001","外交礼仪","崂山校区","讲授","外聘(涉海)","2.0","32","60","12周 一(7-8节);4周 二(5-6节);10周 二(5-6节);6周 二(5-6节)",
"82005001","新时代新思想前沿热点","崂山校区","讲授","王付欣","2.0","32","50","8周 二(5-6节)",
"11001001","组织行为学","崂山校区","讲授","刘敬孝","2.0","32","50","1-17周 四(3-4节)",
"04002003","环境地质概论","崂山校区","讲授","吴晓","2.0","32","50","1-17周 二(5-6节)",
"04002002","海洋地质概论","崂山校区","讲授","徐继尚 乔璐璐","2.0","32","50","1-17周 二(5-6节)",
"01001012","人类与海洋","崂山校区","讲授","周玲玲","2.0","32","50","1-17周 一(5-6节)",
"19000230","中国哲学简史","崂山校区","讲授","陆信礼","2.0","32","50","1-17周 四(1-2节)",
"18003262","运动训练（高水平）5","崂山校区","讲授","霍鑫","5.0","160","30","1-17周 日(11-12节)",
"18003261","运动训练（高水平）5","崂山校区","讲授","程晓艳","5.0","160","30","1-17周 日(11-12节)",
"18003260","运动训练（高水平）5","崂山校区","讲授","卞希国","5.0","160","30","1-17周 日(11-12节)",
"18003259","运动训练（高水平）3","崂山校区","讲授","霍鑫","5.0","160","10","1-17周 日(11-12节)",
"18003258","运动训练（高水平）3","崂山校区","讲授","程晓艳","5.0","160","10","1-17周 日(11-12节)",
"18003257","运动训练（高水平）3","崂山校区","讲授","卞希国","5.0","160","10","1-17周 日(11-12节)",
"18003256","运动训练（高水平）1","崂山校区","讲授","霍鑫","5.0","160","10","1-17周 日(11-12节)",
"18003255","运动训练（高水平）1","崂山校区","讲授","程晓艳","5.0","160","10","1-17周 日(11-12节)",
"18003254","运动训练（高水平）1","崂山校区","讲授","卞希国","5.0","160","10","1-17周 日(11-12节);13周 日(5-8节);9周 日(1-4节);6周 日(1-4节);13周 日(5-8节);9周 日(1-4节);6周 日(1-4节);13周 日(5-8节);9周 日(1-4节);6周 日(1-4节);13周 日(5-8节);9周 日(1-4节);6周 日(1-4节);13周 日(5-8节);9周 日(1-4节);6周 日(1-4节);13周 日(1-4节);3周 六(10-12节);3周 六(5-9节);9周 六(1-4节);8周 六(1-4节);2周 六(1-4节);11周 六(1-4节);1-12周 日(1-4节);2-3周 日(5-8节);11周 日(5-8节);2-3周 日(1-4节);6周 六(10-12节);11周 日(1-4节);8-16周 六(10-12节);8周 六(5-8节);8-16周 六(9节);6周 六(9节);6周 六(5-8节);6周 六(1-4节);1-2周 五(5-8节);8-11周 日(5-8节);2-3周 日(5-8节);6-11周 日(1-4节);2-3周 日(1-4节);11周 六(9节);9-13周 六(5-8节);2周 六(10-12节);13周 六(10-12节);11周 六(10-12节);13周 六(9节);6周 六(5-8节);3周 六(5-9节);2周 六(5-8节);8-13周 六(1-4节);6周 六(1-4节);3周 六(1-4节);9-13周 日(5-8节);6周 日(5-8节);9-13周 日(1-4节);9周 六(10-12节);3-8周 六(10-12节);9周 六(5-8节);11周 六(10-12节);9周 六(9节);3-8周 六(9节);11周 六(9节);8周 六(5-8节);9-11周 六(1-4节);2周 六(1-4节);13周 六(1-4节);9周 日(5-8节);6周 日(5-8节);11-12周 三(5-8节);1-5周 三(5-8节);1-17周 六(5-8节);8周 日(5-8节);1-17周 五(5-6节);2周 六(10-12节);2周 六(9节)",
"77003004","虚拟课程(研究生)","崂山校区","讲授","车晓飞","100.0","0","0","2周 六(5-8节);2-6周 六(5-7节);1-17周 五(3-4节);2-5周 一(1-4节);1-17周 四(1-4节);1-17周 五(1-4节);1-17周 一(1-4节);1-17周 二(10-11节);1-17周 一(5-8节);1-17周 一(3-4节);1-17周 六(5-8节);2-9周 五(5-8节);12-16周 五(5-7节);2-11周 三(1-4节);1-17周 五(1-4节);1-17周 一(1-4节);1-17周 五(10-11节);1-17周 五(5-9节);1-17周 五(3-4节);1-17周 二(5-8节);1-17周 二(10节);1-17周 二(9节);1-17周 日(5-7节);1-17周 一(5-6节);1-17周 一(1-4节);2-6周 日(5-7节);2-6周 日(1-4节);2-6周 六(1-4节);1-17周 五(5-7节);1-17周 五(1-2节);7-16周 四(1-4节);1-17周 二(10-11节);1-17周 二(7-8节);1-17周 二(5-6节);1-17周 二(1-4节);6-10周 一(1-4节);2-6周 日(5-7节);1-17周 五(5-6节);1-17周 五(1-2节);7-11周 四(1-4节);1-17周 二(1-4节)",
